"(p,q,P,Q)",AIC
"(2, 0, 0, 1)",1769.4885896750347
"(3, 2, 3, 3)",1769.5126646087065
"(0, 3, 0, 1)",1769.587777011171
"(2, 0, 1, 0)",1769.6669893475005
"(3, 2, 3, 0)",1769.7012442551795
"(3, 2, 0, 2)",1769.723098517235
"(1, 0, 2, 2)",1769.73002153492
"(0, 1, 2, 2)",1769.756742703801
"(3, 2, 1, 1)",1769.763119071136
"(0, 2, 0, 1)",1769.8139898305092
"(3, 2, 0, 3)",1769.8535521857953
"(3, 0, 3, 0)",1769.9262067046
"(0, 2, 1, 0)",1769.9495617641944
"(0, 3, 1, 0)",1769.9972271555725
"(3, 0, 0, 3)",1770.0469903267226
"(0, 0, 1, 0)",1770.0604071321916
"(3, 0, 2, 1)",1770.100784392629
"(3, 1, 3, 1)",1770.102547802139
"(1, 1, 3, 1)",1770.1671361142082
"(0, 0, 0, 1)",1770.2187212573176
"(3, 2, 2, 1)",1770.3771314644987
"(3, 0, 1, 2)",1770.506418773539
"(3, 2, 1, 2)",1770.7269662746526
"(3, 0, 3, 3)",1770.7359857294089
"(1, 0, 3, 2)",1771.0677710793059
"(0, 3, 2, 0)",1771.2335433202757
"(0, 1, 3, 2)",1771.253082086212
"(2, 0, 2, 0)",1771.2797761514294
"(2, 0, 3, 3)",1771.3629216229838
"(3, 0, 0, 0)",1771.3981704604914
"(2, 0, 0, 2)",1771.4255735803858
"(2, 0, 1, 1)",1771.4579336211339
"(0, 0, 3, 3)",1771.4920838717298
"(0, 2, 2, 0)",1771.515074103485
"(0, 3, 0, 2)",1771.5316094871544
"(3, 2, 1, 3)",1771.538715753995
"(0, 3, 1, 1)",1771.5572323214174
"(0, 0, 0, 2)",1771.570492104784
"(0, 2, 0, 2)",1771.600524832439
"(0, 2, 3, 3)",1771.6928257570494
"(0, 2, 1, 1)",1771.70200374238
"(0, 0, 2, 0)",1771.7538218133077
"(3, 0, 1, 3)",1771.7959692976515
"(0, 0, 1, 1)",1771.8914750602542
"(1, 0, 1, 0)",1771.9602842057338
"(0, 1, 1, 0)",1771.9842591971708
"(1, 0, 0, 1)",1772.0278058978383
"(0, 1, 0, 1)",1772.0738183272183
"(0, 0, 3, 0)",1772.0779380214826
"(3, 0, 3, 1)",1772.0990498705173
"(2, 0, 0, 3)",1772.1173866439185
"(0, 0, 2, 1)",1772.153846220382
"(0, 0, 0, 3)",1772.1599510853584
"(2, 0, 3, 0)",1772.2057097468019
"(3, 2, 3, 1)",1772.2866834056294
"(0, 3, 3, 0)",1772.2903364904614
"(2, 0, 2, 1)",1772.294020278194
"(0, 2, 0, 3)",1772.3235309047645
"(0, 3, 2, 1)",1772.3626781190073
"(0, 2, 3, 0)",1772.4065425340627
"(0, 2, 2, 1)",1772.4190044785255
"(0, 3, 0, 3)",1772.436836553377
"(0, 3, 3, 3)",1772.8804846063458
"(2, 0, 1, 2)",1772.8868156233073
"(0, 3, 1, 2)",1772.9594546878438
"(0, 0, 1, 3)",1773.163251903361
"(0, 0, 1, 2)",1773.2523790005375
"(2, 0, 0, 0)",1773.3345999571757
"(0, 2, 1, 2)",1773.3721460476966
"(0, 1, 3, 3)",1773.3756958638455
"(1, 0, 0, 2)",1773.50788514738
